"GÜNCELLEMELER / DEŞİKLİKLER SONRASINDA AFET YÖNETİM VE KARAR DESTEK SİSTEMİNE (AYDES) TANIMLANACAK GÜNCEL AFET VE ACİL DURUM TOPLANMA ALANLARI LİSTESİ 
(SULTANBEYLİ İLÇESİ)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S.No;AYDES ID;Adı;İl;İlçe;Mahalle;Koordinat;;;İl UAVT Kodu;İlçe UAVT Kodu;Mahalle UAVT Kodu;Kategori ID;WKT;Aktif;Haritada Göster;İdari Sınırlar Bakımından Sorumlu Belediye Başkanlığı Adı;"Mülkiyet / Tahsis / İzin Bakımından 
İlgili Kurum / Kuruluş - Gerçek / Tüzel Kişi Adı";"Afet ve Acil Durum Toplanma Alanından Sorumlu Kişi Bilgisi
(Belediye Başkanlıklarınca Görevlendirilen Personel)";;;;;;;;;;;;;;;
;;;;;;WGS 84;;Coğrafi Koordinat (DMS);;;;;;;;;;Sıra No.;Adı Soyadı;Unvanı;Görevi;İletişim Bilgileri;Mail Adresi;Görevli Olduğu Kurum / Kuruluş Adı;Arazi Kullanım Fonksiyonu;Su;WC/ Kanalizasyon;Jeneratör;AFİS Konteyner Sayısı;Kamera;Haberleşme;;Öncelik Derecesi
;;;;;;Enlem;Boylam;;;;;;;;;;;;;;;;;;;;;;;;Sabit Hat;İnternet;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;151349191;Ahmet Yesevi Parkı;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.97327186328843;29.264825621527997;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;VAR;VAR;VAR;
19;151349194;Barbaros Hayrettin Paşa Parkı;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.9739533840579;29.276975898323276;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;VAR;VAR;VAR;
20;151349195;Çağdaş Yaşam Türkan Tutumluer İlkokulu Bahçesi;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.974685082599215;29.281194669825485;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
21;151349192;Kanuni Sultan Süleyman Parkı;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.972717007320625;29.27403441655196;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
22;151349196;Kaptan-I Derya İlkokulu Bahçesi;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.97418679983452;29.275177709135292;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
23;151349193;Kaptanı Derya Parkı;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.974064014419554;29.27360187332038;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
24;151349197;Nilüfer Hatun Kız Anadolu İmam Hatip Lisesi;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.9717983642192;29.265427485702762;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
25;151349198;Şehit Erdem Diker İmam Hatip Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;AHMET YESEVİ;40.97163567399593;29.26604512019534;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
26;151349309;Akşemsettin İlkokulu ve Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;AKŞEMSETTİN;40.94732537694204;29.302287863173127;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;yok;VAR;VAR;VAR;
27;151349306;Akşemsettin Parkı;İSTANBUL;SULTANBEYLİ;AKŞEMSETTİN;40.946344915126495;29.304691294038427;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
28;151349310;Genç Osman Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;AKŞEMSETTİN;40.94099303917679;29.297119420471343;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
29;151349311;Karanfil Cami Parkı;İSTANBUL;SULTANBEYLİ;AKŞEMSETTİN;40.94199845583453;29.300353883980986;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;YOK;VAR;VAR;
30;151349307;Mevlana Parkı;İSTANBUL;SULTANBEYLİ;AKŞEMSETTİN;40.94874610580247;29.298725708734676;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;YOK;VAR;VAR;
31;151349308;Molla Gürani Parkı;İSTANBUL;SULTANBEYLİ;AKŞEMSETTİN;40.94850109796728;29.301902110386845;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
32;151349231;Battalgazi İlkokulu ve Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.988155798357035;29.284169300581336;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;yok;YOK;VAR;VAR;
33;151349240;Battalgazi Mahallesi Yeşil Alan Parkı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.99050083324096;29.282244769041018;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
34;151349239;Battalgazi Toplanma Alanı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.988164099174966;29.27937574047541;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
35;151349242;Belediye Fen İşleri Önü Toplanma Alanı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98258840501005;29.268399813146427;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;yok;VAR;VAR;VAR;
36;151349243;Belediye Kapalı Spor Salonu Önü Toplanma Alanı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.983957373662335;29.26898331790146;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
37;151349227;Bosna Parkı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98683724750179;29.264704252973328;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;VAR;VAR;VAR;
38;151349232;Ertuğrul Gazi Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.97792445300198;29.279083839143293;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
39;151349226;Ertuğrul Gazi Parkı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.9795078052419;29.278957941824995;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;yok;VAR;VAR;VAR;
40;151349233;Esma Sultan Anaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98748604894042;29.283931909438408;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
41;151349241;Hatmi Sokak Parkı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98424291706861;29.265733062968664;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
42;151349244;Muhsin Yazıcıoğlu Nikah Sarayı Önü Toplanma Alanı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.983109015870944;29.270050140686557;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
43;151349228;Muhsi Yazıcıoğlu Parkı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.983359365602844;29.270669443444262;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;YOK;VAR;VAR;
44;151349234;Sabiha Gökçen Mesleki ve Teknik Anadolu Lisesi Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98634870932317;29.266181435512845;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
45;151349229;Selçuklu Parkı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98387045955458;29.279048711986174;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
46;151349235;Sultan Alparslan Mesleki ve Teknik Anadolu Lisesi Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98905280264277;29.282452138742173;;;;;;;;;;;;;;;;;;;YOK;VAR;YOK;var;VAR;VAR;VAR;
47;151349236;Sultanbeyli Çok Programlı Anadolu Lisesi Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98280233400075;29.269177747286683;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
48;151349230;Şehit Hamit Sütmen Parkı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98181413193544;29.26881829375751;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;VAR;VAR;VAR;
49;151349237;Şehit Öğretmen Hamit Sütmen İlkokulu ve Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98200942008475;29.26868471951212;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
50;151349312;Teferrüçtepe Mesire Alanı;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.986887134790216;29.287472037996828;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;yok;VAR;VAR;VAR;
51;151349238;Türktelekom Şehit Murat Naiboğlu Anadolu Lisesi Bahçesi;İSTANBUL;SULTANBEYLİ;BATTALGAZİ;40.98431256785235;29.282926022455438;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
52;151349222;Anafartalar İmam Hatip Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;FATİH ;40.950562052402304;29.273404111936014;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
53;151349223;Fatih Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;FATİH ;40.95052284399049;29.27276948431416;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
54;151349221;Fatih Sultan Mehmet Parkı;İSTANBUL;SULTANBEYLİ;FATİH ;40.95595792273517;29.2790352494371;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOk;YOK;VAR;VAR;
55;151349224;Gölet İlkokulu Bahçesi;İSTANBUL;SULTANBEYLİ;FATİH ;40.953061847487085;29.27456122232974;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
56;151349328;Hamidiye Park Alanı;İSTANBUL;SULTANBEYLİ;FATİH ;40.95659932594345;29.280477337139974;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
57;151349225;Namık Kemal İlkokulu ve Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;FATİH ;40.95952829515023;29.279556262003226;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
58;151349321;Sultanbeyli Gölet Futbol Stadı;İSTANBUL;SULTANBEYLİ;FATİH ;40.95535392537073;29.279870655000614;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;VAR;VAR;VAR;
59;151349217;Eşref Bitlis Parkı;İSTANBUL;SULTANBEYLİ;HAMİDİYE;40.9485946759933;29.290376637586277;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;YOK;VAR;VAR;
60;151349218;İbrahim Dede Parkı;İSTANBUL;SULTANBEYLİ;HAMİDİYE;40.95120838819276;29.2900754188337;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;VAR;VAR;VAR;
61;151349219;İstanbul Ticaret Odası Şehit Er Dursun Sıvaz İlkokulu Bahçesi;İSTANBUL;SULTANBEYLİ;HAMİDİYE;40.953003951362575;29.285546282945017;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;YOK;VAR;VAR;
62;151349220;Mevlana Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;HAMİDİYE;40.94972617526986;29.288703366823764;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
63;151349203;Ahmet Yener Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;HASANPAŞA;40.965212584124544;29.24991319728006;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;VAR;VAR;VAR;
64;151349200;Cahar Dudayev Parkı;İSTANBUL;SULTANBEYLİ;HASANPAŞA;40.96616351818347;29.247342145925817;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;VAR;VAR;VAR;
65;151349204;Gülbahar Hatun Anaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;HASANPAŞA;40.97033106196946;29.249330662964677;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
66;151349205;Hasanpaşa İlkokulu Bahçesi;İSTANBUL;SULTANBEYLİ;HASANPAŞA;40.967654805768824;29.250364180375875;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
67;151349202;Hasanpaşa Parkı;İSTANBUL;SULTANBEYLİ;HASANPAŞA;40.968150397871334;29.244999812730583;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
68;151349206;Hüsnü M. Özyeğin Anadolu Lisesi Bahçesi;İSTANBUL;SULTANBEYLİ;HASANPAŞA;40.970990818863825;29.252300541330374;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;var;VAR;VAR;VAR;
69;151349201;Tevhid Parkı;İSTANBUL;SULTANBEYLİ;HASANPAŞA;40.97237785052481;29.24990969498234;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
70;151349254;Ahmet Yesevi İlkokulu Bahçesi;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.954961810046065;29.296158078800406;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
71;151349255;Cahit Zarifoğlu İmam Hatip  Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.95127940440739;29.308940317050475;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;YOK;VAR;VAR;
72;151349259;İstanbulensis Parkı;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.95309937329887;29.301279303874033;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;YOK;VAR;VAR;
73;151349326;Maraşal Fevzi Çakmak Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.96265647979405;29.298839728700447;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
74;151349256;Mecidiye Anaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.95182250611337;29.3077878511184;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;VAR;VAR;VAR;
75;151349252;Mecidiye Parkı;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.960895751509184;29.296914015337837;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
76;151349257;Mehmet Corcor İlkokulu Bahçesi;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.95157062801533;29.30838746812863;;;;;;;;;;;;;;;;;;;VAR;VAR;VAR;YOK;YOK;VAR;VAR;
77;151349253;Şeyh Edebali Parkı;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.95605728269493;29.305302266880926;;;;;;;;;;;;;;;;;;;YOK;YOK;VAR;YOK;VAR;VAR;VAR;
78;151349258;Vega Koleji Bahçesi;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.95435303044332;29.298382488154342;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
79;151349251;Yavuz Sultan Selim Parkı;İSTANBUL;SULTANBEYLİ;MECİDİYE;40.95898539994145;29.29275014093141;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
80;151349211;Adnan Kahveci Parkı;İSTANBUL;SULTANBEYLİ;MEHMET AKİF;40.95615556381066;29.26739039582964;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
81;151349213;Aydos Ortaokulu - Aydos İmam Hatip Ortaokulu Bahçesi;İSTANBUL;SULTANBEYLİ;MEHMET AKİF;40.95544025613031;29.258099275836894;;;;;;;;;;;;;;;;;;;VAR;VAR;YOK;YOK;YOK;VAR;VAR;
82;151349215;Enderun Sokak Parkı;İSTANBUL;SULTANBEYLİ;MEHMET AKİF;40.96928406701004;29.264987856483252;;;;;;;;;;;;;;;;;;;YOK;YOK;YOK;YOK;YOK;VAR;VAR;
83;151349208;Mehmet Akif Ersoy Parkı;İSTANBUL;SULTANBEYLİ;MEHMET AKİF;40.96163014379557;29.264428840103783;;;;;;;;;;;;;;;;;;;VAR;YOK;YOK;YOK;YOK;VAR;VAR;
